step_size,optim_number,x1,x2,x_HJ1,x_HJ2,y,f_calls_HJ,is_global_min_HJ,x_Rosen.1,x_ROsen2,y_Rosen,f_calls_Rosen,is_global_min_Rosen
0.5,49,0.390061,0.445292,-0.027615,0.0276153,0.0483346,355,0,0.775084,0.775084,1.24089,355,0
0.5,50,-0.636986,-0.239402,-0.198792,0.198792,2.05848,365,0,-3.89957e-07,-0.775083,0.620446,365,0
0.5,51,-0.868998,0.52076,-0.694878,0.69488,1.61358,284,0,-0.775084,4.2324e-07,0.620446,284,0
0.5,52,0.640962,-0.147989,0.00688478,-0.782066,0.62348,363,0,-7.50125e-07,-7.20061e-08,1.80647e-11,363,1
0.5,53,-0.0950218,-0.355565,0.130272,-0.130272,0.9917,464,0,4.19341e-07,8.3939e-07,2.80074e-11,464,1
0.5,54,-0.960892,-0.971111,0.00510931,-0.0051101,0.00166091,419,0,-0.775083,-0.775083,1.24089,419,0
0.5,55,-0.398019,-0.651378,0.12668,-0.12668,0.942144,309,0,-7.70958e-07,4.79958e-07,2.62359e-11,309,1
0.5,56,-0.651412,0.424671,-0.163882,0.912201,1.93946,403,0,-8.75302e-07,0.775084,0.620446,403,0
0.5,57,0.243595,0.522023,-0.139213,0.139215,1.11881,286,0,0.775083,6.87573e-07,0.620446,286,0
0.5,58,-0.682976,-0.773745,0.0453846,-0.0453849,0.129711,392,0,-0.775084,-0.775084,1.24089,392,0
0.5,59,-0.896589,0.559362,-0.727976,0.727975,1.37456,491,0,1.42088e-07,-4.7834e-07,7.921e-12,491,1
0.5,60,-0.589253,0.322923,-0.0697614,0.842414,0.914648,288,0,-1.23689e-07,0.775083,0.620446,288,0
0.5,61,-0.160074,0.284064,0.112015,0.556152,2.02387,371,0,6.67244e-07,0.775084,0.620446,371,0
0.5,62,-0.224631,-0.452761,0.114065,-0.114065,0.775625,334,0,-0.775084,-5.55294e-08,0.620446,334,0
0.5,63,0.536175,0.86249,-0.163158,0.163157,1.48131,366,0,5.06783e-07,0.775084,0.620446,366,0
0.5,64,0.0956035,-0.954932,0.14726,-0.903275,1.74329,384,0,-4.47779e-07,-0.775084,0.620446,384,0
0.5,65,0.242297,0.844494,-0.683809,-0.0816124,1.06299,415,0,0.775083,0.775084,1.24089,415,0
0.5,66,-0.211574,0.745104,-0.863229,0.0934496,1.13027,357,0,-0.775083,0.775084,1.24089,357,0
