Czas;VA;VB;TB
296x;2.43531x;2.44317x;50.0044x
297x;2.4282x;2.44465x;49.9981x
298x;2.42109x;2.44612x;49.9917x
299x;2.41399x;2.44757x;49.9852x
300x;2.40691x;2.44901x;49.9786x
301x;2.39983x;2.45044x;49.9718x
302x;2.39276x;2.45185x;49.965x
303x;2.38571x;2.45324x;49.958x
304x;2.37866x;2.45462x;49.9509x
305x;2.37163x;2.45599x;49.9436x
306x;2.36461x;2.45734x;49.9363x
307x;2.35759x;2.45867x;49.9289x
308x;2.35059x;2.45999x;49.9213x
309x;2.3436x;2.4613x;49.9136x
310x;2.33662x;2.46259x;49.9058x
311x;2.32964x;2.46387x;49.8979x
312x;2.32268x;2.46513x;49.8899x
313x;2.31573x;2.46638x;49.8818x
314x;2.30879x;2.46761x;49.8736x
315x;2.30186x;2.46883x;49.8652x
316x;2.29494x;2.47004x;49.8568x
317x;2.28803x;2.47123x;49.8482x
318x;2.28113x;2.47241x;49.8396x
319x;2.27424x;2.47357x;49.8308x
320x;2.26737x;2.47472x;49.8219x
321x;2.2605x;2.47585x;49.813x
322x;2.25364x;2.47697x;49.8039x
323x;2.24679x;2.47808x;49.7947x
324x;2.23996x;2.47917x;49.7854x
325x;2.23313x;2.48025x;49.776x
326x;2.22632x;2.48132x;49.7665x
327x;2.21951x;2.48237x;49.757x
328x;2.21272x;2.4834x;49.7473x
329x;2.20593x;2.48443x;49.7375x
330x;2.19916x;2.48544x;49.7276x
331x;2.1924x;2.48643x;49.7176x
332x;2.18564x;2.48742x;49.7075x
333x;2.1789x;2.48839x;49.6974x
334x;2.17217x;2.48934x;49.6871x
335x;2.16545x;2.49029x;49.6767x
336x;2.15873x;2.49122x;49.6663x
337x;2.15203x;2.49213x;49.6557x
338x;2.14534x;2.49303x;49.6451x
339x;2.13866x;2.49392x;49.6343x
340x;2.13199x;2.4948x;49.6235x
341x;2.12533x;2.49566x;49.6126x
342x;2.11868x;2.49651x;49.6015x
343x;2.11205x;2.49735x;49.5904x
344x;2.10542x;2.49817x;49.5792x
345x;2.0988x;2.49898x;49.5679x
346x;2.09219x;2.49978x;49.5566x
347x;2.0856x;2.50057x;49.5451x
348x;2.07901x;2.50134x;49.5335x
349x;2.07243x;2.5021x;49.5219x
350x;2.06587x;2.50284x;49.5102x
351x;2.05931x;2.50358x;49.4983x
352x;2.05277x;2.5043x;49.4864x
353x;2.04623x;2.50501x;49.4744x
354x;2.03971x;2.5057x;49.4624x
355x;2.0332x;2.50639x;49.4502x
356x;2.02669x;2.50706x;49.438x
357x;2.0202x;2.50771x;49.4256x
358x;2.01372x;2.50836x;49.4132x
359x;2.00725x;2.50899x;49.4007x
360x;2.00079x;2.50961x;49.3881x
361x;1.99433x;2.51022x;49.3755x
362x;1.98789x;2.51082x;49.3627x
363x;1.98146x;2.5114x;49.3499x
364x;1.97504x;2.51197x;49.337x
365x;1.96863x;2.51253x;49.324x
366x;1.96224x;2.51308x;49.3109x
367x;1.95585x;2.51361x;49.2977x
368x;1.94947x;2.51414x;49.2845x
369x;1.9431x;2.51465x;49.2712x
370x;1.93674x;2.51515x;49.2578x
371x;1.9304x;2.51563x;49.2443x
372x;1.92406x;2.51611x;49.2308x
373x;1.91774x;2.51657x;49.2172x
374x;1.91142x;2.51702x;49.2035x
375x;1.90511x;2.51746x;49.1897x
376x;1.89882x;2.51789x;49.1758x
377x;1.89254x;2.5183x;49.1619x
378x;1.88626x;2.51871x;49.1479x
379x;1.88x;2.5191x;49.1338x
380x;1.87375x;2.51948x;49.1196x
381x;1.8675x;2.51985x;49.1054x
382x;1.86127x;2.52021x;49.0911x
383x;1.85505x;2.52055x;49.0767x
384x;1.84884x;2.52089x;49.0622x
385x;1.84264x;2.52121x;49.0477x
386x;1.83645x;2.52152x;49.0331x
387x;1.83027x;2.52182x;49.0184x
388x;1.8241x;2.52211x;49.0036x
389x;1.81794x;2.52239x;48.9888x
390x;1.81179x;2.52266x;48.9739x
391x;1.80565x;2.52291x;48.9589x
392x;1.79952x;2.52316x;48.9439x
393x;1.7934x;2.52339x;48.9287x
394x;1.7873x;2.52361x;48.9135x
395x;1.7812x;2.52382x;48.8983x
396x;1.77511x;2.52402x;48.8829x
