Czas;VA;VB;TB
1802x;-7.31066e-07x;1.01049x;20.0062x
1803x;-7.31066e-07x;1.01044x;20.0061x
1804x;-7.31066e-07x;1.01039x;20.006x
1805x;-7.31066e-07x;1.01034x;20.006x
1806x;-7.31066e-07x;1.01029x;20.0059x
1807x;-7.31066e-07x;1.01024x;20.0059x
1808x;-7.31066e-07x;1.01018x;20.0058x
1809x;-7.31066e-07x;1.01013x;20.0057x
1810x;-7.31066e-07x;1.01008x;20.0057x
1811x;-7.31066e-07x;1.01003x;20.0056x
1812x;-7.31066e-07x;1.00998x;20.0056x
1813x;-7.31066e-07x;1.00993x;20.0055x
1814x;-7.31066e-07x;1.00988x;20.0055x
1815x;-7.31066e-07x;1.00984x;20.0054x
1816x;-7.31066e-07x;1.00979x;20.0054x
1817x;-7.31066e-07x;1.00974x;20.0053x
1818x;-7.31066e-07x;1.00969x;20.0053x
1819x;-7.31066e-07x;1.00964x;20.0052x
1820x;-7.31066e-07x;1.00959x;20.0052x
1821x;-7.31066e-07x;1.00955x;20.0051x
1822x;-7.31066e-07x;1.0095x;20.0051x
1823x;-7.31066e-07x;1.00945x;20.005x
1824x;-7.31066e-07x;1.0094x;20.005x
1825x;-7.31066e-07x;1.00936x;20.0049x
1826x;-7.31066e-07x;1.00931x;20.0049x
1827x;-7.31066e-07x;1.00926x;20.0048x
1828x;-7.31066e-07x;1.00922x;20.0048x
1829x;-7.31066e-07x;1.00917x;20.0047x
1830x;-7.31066e-07x;1.00913x;20.0047x
1831x;-7.31066e-07x;1.00908x;20.0046x
1832x;-7.31066e-07x;1.00904x;20.0046x
1833x;-7.31066e-07x;1.00899x;20.0045x
1834x;-7.31066e-07x;1.00895x;20.0045x
1835x;-7.31066e-07x;1.0089x;20.0044x
1836x;-7.31066e-07x;1.00886x;20.0044x
1837x;-7.31066e-07x;1.00881x;20.0044x
1838x;-7.31066e-07x;1.00877x;20.0043x
1839x;-7.31066e-07x;1.00873x;20.0043x
1840x;-7.31066e-07x;1.00868x;20.0042x
1841x;-7.31066e-07x;1.00864x;20.0042x
1842x;-7.31066e-07x;1.0086x;20.0041x
1843x;-7.31066e-07x;1.00855x;20.0041x
1844x;-7.31066e-07x;1.00851x;20.0041x
1845x;-7.31066e-07x;1.00847x;20.004x
1846x;-7.31066e-07x;1.00843x;20.004x
1847x;-7.31066e-07x;1.00838x;20.0039x
1848x;-7.31066e-07x;1.00834x;20.0039x
1849x;-7.31066e-07x;1.0083x;20.0039x
1850x;-7.31066e-07x;1.00826x;20.0038x
1851x;-7.31066e-07x;1.00822x;20.0038x
1852x;-7.31066e-07x;1.00818x;20.0038x
1853x;-7.31066e-07x;1.00814x;20.0037x
1854x;-7.31066e-07x;1.0081x;20.0037x
1855x;-7.31066e-07x;1.00806x;20.0036x
1856x;-7.31066e-07x;1.00802x;20.0036x
1857x;-7.31066e-07x;1.00798x;20.0036x
1858x;-7.31066e-07x;1.00794x;20.0035x
1859x;-7.31066e-07x;1.0079x;20.0035x
1860x;-7.31066e-07x;1.00786x;20.0035x
1861x;-7.31066e-07x;1.00782x;20.0034x
1862x;-7.31066e-07x;1.00778x;20.0034x
1863x;-7.31066e-07x;1.00774x;20.0034x
1864x;-7.31066e-07x;1.0077x;20.0033x
1865x;-7.31066e-07x;1.00766x;20.0033x
1866x;-7.31066e-07x;1.00763x;20.0033x
1867x;-7.31066e-07x;1.00759x;20.0032x
1868x;-7.31066e-07x;1.00755x;20.0032x
1869x;-7.31066e-07x;1.00751x;20.0032x
1870x;-7.31066e-07x;1.00748x;20.0031x
1871x;-7.31066e-07x;1.00744x;20.0031x
1872x;-7.31066e-07x;1.0074x;20.0031x
1873x;-7.31066e-07x;1.00736x;20.003x
1874x;-7.31066e-07x;1.00733x;20.003x
1875x;-7.31066e-07x;1.00729x;20.003x
1876x;-7.31066e-07x;1.00726x;20.003x
1877x;-7.31066e-07x;1.00722x;20.0029x
1878x;-7.31066e-07x;1.00718x;20.0029x
1879x;-7.31066e-07x;1.00715x;20.0029x
1880x;-7.31066e-07x;1.00711x;20.0028x
1881x;-7.31066e-07x;1.00708x;20.0028x
1882x;-7.31066e-07x;1.00704x;20.0028x
1883x;-7.31066e-07x;1.00701x;20.0028x
1884x;-7.31066e-07x;1.00697x;20.0027x
1885x;-7.31066e-07x;1.00694x;20.0027x
1886x;-7.31066e-07x;1.0069x;20.0027x
1887x;-7.31066e-07x;1.00687x;20.0027x
1888x;-7.31066e-07x;1.00683x;20.0026x
1889x;-7.31066e-07x;1.0068x;20.0026x
1890x;-7.31066e-07x;1.00677x;20.0026x
1891x;-7.31066e-07x;1.00673x;20.0025x
1892x;-7.31066e-07x;1.0067x;20.0025x
1893x;-7.31066e-07x;1.00667x;20.0025x
1894x;-7.31066e-07x;1.00663x;20.0025x
1895x;-7.31066e-07x;1.0066x;20.0024x
1896x;-7.31066e-07x;1.00657x;20.0024x
1897x;-7.31066e-07x;1.00653x;20.0024x
1898x;-7.31066e-07x;1.0065x;20.0024x
1899x;-7.31066e-07x;1.00647x;20.0024x
1900x;-7.31066e-07x;1.00644x;20.0023x
1901x;-7.31066e-07x;1.0064x;20.0023x
1902x;-7.31066e-07x;1.00637x;20.0023x
1903x;-7.31066e-07x;1.00634x;20.0023x
1904x;-7.31066e-07x;1.00631x;20.0022x
1905x;-7.31066e-07x;1.00628x;20.0022x
1906x;-7.31066e-07x;1.00625x;20.0022x
1907x;-7.31066e-07x;1.00622x;20.0022x
1908x;-7.31066e-07x;1.00618x;20.0022x
1909x;-7.31066e-07x;1.00615x;20.0021x
1910x;-7.31066e-07x;1.00612x;20.0021x
1911x;-7.31066e-07x;1.00609x;20.0021x
1912x;-7.31066e-07x;1.00606x;20.0021x
1913x;-7.31066e-07x;1.00603x;20.002x
1914x;-7.31066e-07x;1.006x;20.002x
1915x;-7.31066e-07x;1.00597x;20.002x
1916x;-7.31066e-07x;1.00594x;20.002x
1917x;-7.31066e-07x;1.00591x;20.002x
1918x;-7.31066e-07x;1.00588x;20.0019x
1919x;-7.31066e-07x;1.00585x;20.0019x
1920x;-7.31066e-07x;1.00582x;20.0019x
1921x;-7.31066e-07x;1.0058x;20.0019x
1922x;-7.31066e-07x;1.00577x;20.0019x
1923x;-7.31066e-07x;1.00574x;20.0019x
1924x;-7.31066e-07x;1.00571x;20.0018x
1925x;-7.31066e-07x;1.00568x;20.0018x
1926x;-7.31066e-07x;1.00565x;20.0018x
1927x;-7.31066e-07x;1.00562x;20.0018x
1928x;-7.31066e-07x;1.0056x;20.0018x
1929x;-7.31066e-07x;1.00557x;20.0017x
1930x;-7.31066e-07x;1.00554x;20.0017x
1931x;-7.31066e-07x;1.00551x;20.0017x
1932x;-7.31066e-07x;1.00549x;20.0017x
1933x;-7.31066e-07x;1.00546x;20.0017x
1934x;-7.31066e-07x;1.00543x;20.0017x
1935x;-7.31066e-07x;1.0054x;20.0016x
1936x;-7.31066e-07x;1.00538x;20.0016x
1937x;-7.31066e-07x;1.00535x;20.0016x
1938x;-7.31066e-07x;1.00532x;20.0016x
1939x;-7.31066e-07x;1.0053x;20.0016x
1940x;-7.31066e-07x;1.00527x;20.0016x
1941x;-7.31066e-07x;1.00525x;20.0015x
1942x;-7.31066e-07x;1.00522x;20.0015x
1943x;-7.31066e-07x;1.00519x;20.0015x
1944x;-7.31066e-07x;1.00517x;20.0015x
1945x;-7.31066e-07x;1.00514x;20.0015x
1946x;-7.31066e-07x;1.00512x;20.0015x
1947x;-7.31066e-07x;1.00509x;20.0015x
1948x;-7.31066e-07x;1.00507x;20.0014x
1949x;-7.31066e-07x;1.00504x;20.0014x
1950x;-7.31066e-07x;1.00501x;20.0014x
1951x;-7.31066e-07x;1.00499x;20.0014x
1952x;-7.31066e-07x;1.00497x;20.0014x
1953x;-7.31066e-07x;1.00494x;20.0014x
1954x;-7.31066e-07x;1.00492x;20.0014x
1955x;-7.31066e-07x;1.00489x;20.0013x
1956x;-7.31066e-07x;1.00487x;20.0013x
1957x;-7.31066e-07x;1.00484x;20.0013x
1958x;-7.31066e-07x;1.00482x;20.0013x
1959x;-7.31066e-07x;1.00479x;20.0013x
1960x;-7.31066e-07x;1.00477x;20.0013x
1961x;-7.31066e-07x;1.00475x;20.0013x
1962x;-7.31066e-07x;1.00472x;20.0013x
1963x;-7.31066e-07x;1.0047x;20.0012x
1964x;-7.31066e-07x;1.00468x;20.0012x
1965x;-7.31066e-07x;1.00465x;20.0012x
1966x;-7.31066e-07x;1.00463x;20.0012x
1967x;-7.31066e-07x;1.00461x;20.0012x
1968x;-7.31066e-07x;1.00458x;20.0012x
1969x;-7.31066e-07x;1.00456x;20.0012x
1970x;-7.31066e-07x;1.00454x;20.0012x
1971x;-7.31066e-07x;1.00452x;20.0011x
1972x;-7.31066e-07x;1.00449x;20.0011x
1973x;-7.31066e-07x;1.00447x;20.0011x
1974x;-7.31066e-07x;1.00445x;20.0011x
1975x;-7.31066e-07x;1.00443x;20.0011x
1976x;-7.31066e-07x;1.0044x;20.0011x
1977x;-7.31066e-07x;1.00438x;20.0011x
1978x;-7.31066e-07x;1.00436x;20.0011x
1979x;-7.31066e-07x;1.00434x;20.0011x
1980x;-7.31066e-07x;1.00432x;20.0011x
1981x;-7.31066e-07x;1.0043x;20.001x
1982x;-7.31066e-07x;1.00427x;20.001x
1983x;-7.31066e-07x;1.00425x;20.001x
1984x;-7.31066e-07x;1.00423x;20.001x
1985x;-7.31066e-07x;1.00421x;20.001x
1986x;-7.31066e-07x;1.00419x;20.001x
1987x;-7.31066e-07x;1.00417x;20.001x
1988x;-7.31066e-07x;1.00415x;20.001x
1989x;-7.31066e-07x;1.00413x;20.001x
1990x;-7.31066e-07x;1.00411x;20.001x
1991x;-7.31066e-07x;1.00409x;20.0009x
1992x;-7.31066e-07x;1.00407x;20.0009x
1993x;-7.31066e-07x;1.00405x;20.0009x
1994x;-7.31066e-07x;1.00403x;20.0009x
1995x;-7.31066e-07x;1.00401x;20.0009x
1996x;-7.31066e-07x;1.00399x;20.0009x
1997x;-7.31066e-07x;1.00397x;20.0009x
1998x;-7.31066e-07x;1.00395x;20.0009x
1999x;-7.31066e-07x;1.00393x;20.0009x
2000x;-7.31066e-07x;1.00391x;20.0009x
